file,mjd_obs,ut_time,x,y,weather,target_flux,ensemble_flux,rel_flux,check_flux,status,used,comp10_flux,comp12_flux
Qatar-1260818082449.fits,61270.351,08:25:26,322.8,159.37,100,1407.8,,,,position,no,,
Qatar-1260818082715.fits,61270.352,08:26:52,332.89,149.1,100,32.3,17583.6,0.536,1.0031,ok,yes,8316.3,9267.3
Qatar-1260818083016.fits,61270.354,08:29:45,334.42,152.85,100,59.9,17516.7,1.0868,0.991,ok,yes,8250.1,9266.6
Qatar-1260818083316.fits,61270.356,08:32:38,336.02,155.81,100,62.3,,,,no_flux,no,,9217.0
Qatar-1260818083615.fits,61270.359,08:36:57,339.14,154.64,100,32.3,17404.9,0.5968,1.0026,ok,yes,8260.7,9144.2
Qatar-1260818083916.fits,61270.361,08:39:50,340.27,154.19,100,51.8,17533.4,0.9324,0.994,ok,yes,8283.4,9250.0
Qatar-1260818084515.fits,61270.365,08:45:36,344.3,151.57,100,63.9,17414.2,1.0546,0.9996,ok,yes,8244.3,9170.0
Qatar-1260818085115.fits,61270.369,08:51:21,345.59,153.88,100,82.7,17490.0,1.4255,1.0013,ok,yes,8299.0,9191.0
Qatar-1260818090316.fits,61270.377,09:02:52,351.27,151.7,100,45.3,17474.6,0.7139,1.0093,ok,yes,8322.7,9152.0
Qatar-1260818090915.fits,61270.381,09:08:38,342.69,154.5,100,1405.3,,,,position,no,,
Qatar-1260818091215.fits,61270.384,09:12:57,355.28,153.94,100,79.2,17240.9,1.3006,0.9981,ok,yes,8177.7,9063.2
Qatar-1260818091515.fits,61270.386,09:15:50,355.77,152.48,100,77.3,17183.6,1.2268,1.0004,ok,yes,8154.4,9029.2
Qatar-1260818091816.fits,61270.388,09:18:43,358.11,150.31,100,63.1,17250.8,0.9381,1.005,ok,yes,8198.9,9051.8
Qatar-1260818092117.fits,61270.39,09:21:36,358.17,148.66,100,92.4,17333.9,1.3202,1.0056,ok,yes,8233.7,9100.1
Qatar-1260818092415.fits,61270.392,09:24:28,358.74,153.42,100,70.7,17067.1,1.1335,0.9979,ok,yes,8095.6,8971.5
Qatar-1260818093015.fits,61270.396,09:30:14,362.49,150.86,100,43.8,17187.2,0.6446,0.9823,ok,yes,8077.8,9109.4
Qatar-1260818093316.fits,61270.398,09:33:07,361.3,149.67,100,82.4,17257.7,1.1851,1.0171,ok,yes,8254.3,9003.4
Qatar-1260818094216.fits,61270.404,09:41:45,366.71,151.46,100,92.7,17203.8,1.3458,1.005,ok,yes,8190.7,9013.1
Qatar-1260818094516.fits,61270.406,09:44:38,365.88,154.31,100,36.5,16958.1,0.5743,0.9787,ok,yes,7973.0,8985.1
Qatar-1260818095116.fits,61270.411,09:51:50,371.3,154.54,100,63.4,17000.2,0.9688,0.988,ok,yes,8039.5,8960.8
Qatar-1260818095416.fits,61270.413,09:54:43,371.69,158.05,100,33.1,17008.2,0.5449,0.9855,ok,yes,8048.0,8960.2
Qatar-1260818095715.fits,61270.415,09:57:36,372.36,157.24,100,63.9,16821.5,1.0404,1.0068,ok,yes,8046.5,8775.0
Qatar-1260818100015.fits,61270.417,10:00:28,375.2,158.14,100,74.6,16633.4,1.2326,0.9875,ok,yes,7882.6,8750.8
