file,mjd_obs,ut_time,x,y,weather,target_flux,ensemble_flux,rel_flux,check_flux,status,used,comp4_flux,comp10_flux,comp13_flux,comp14_flux
TRES-5260829055250.fits,61281.245,05:52:48,260.62,252.17,94,512.5,87661.5,0.8848,0.9321,position,no,35146.1,19293.8,16566.8,16654.8
TRES-5260829055721.fits,61281.248,05:57:07,256.09,211.19,94,488.2,86167.1,0.9544,0.9967,ok,yes,34661.3,18949.0,16238.1,16318.7
TRES-5260829060207.fits,61281.251,06:01:26,252.86,222.06,99,549.1,88714.4,1.0074,0.969,position,no,35495.2,19584.0,16790.7,16844.4
TRES-5260829060851.fits,61281.256,06:08:38,256.64,203.49,99,516.7,87803.7,1.0143,0.9983,outlier,no,35084.0,19423.2,16670.5,16625.9
TRES-5260829061035.fits,61281.257,06:10:04,257.34,205.65,99,486.0,88007.3,0.9466,0.971,ok,yes,34647.3,19574.4,16850.1,16935.5
TRES-5260829061219.fits,61281.259,06:12:57,257.61,205.49,99,555.1,88878.9,1.0715,0.986,ok,yes,35306.0,19579.5,16986.5,17006.9
TRES-5260829061402.fits,61281.26,06:14:24,257.61,205.66,99,489.1,88177.8,0.9511,0.9862,ok,yes,35037.3,19453.2,16896.9,16790.4
TRES-5260829061546.fits,61281.261,06:15:50,259.77,205.28,99,505.8,87298.9,0.997,0.9933,ok,yes,34797.9,19129.0,16659.0,16713.0
TRES-5260829061815.fits,61281.263,06:18:43,257.88,206.27,99,540.0,88028.0,1.0503,1.0033,ok,yes,35359.1,19326.5,16644.0,16698.4
TRES-5260829062115.fits,61281.265,06:21:36,260.38,204.34,99,529.4,88046.9,1.0382,0.993,ok,yes,35050.5,19471.3,16688.7,16836.4
TRES-5260829062415.fits,61281.267,06:24:28,260.68,204.33,99,538.0,88254.6,1.053,1.0166,ok,yes,35628.0,19253.6,16613.3,16759.8
TRES-5260829062715.fits,61281.269,06:27:21,262.7,202.79,99,483.7,86495.1,0.9728,1.028,ok,yes,35070.7,18765.3,16274.3,16384.7
TRES-5260829063015.fits,61281.271,06:30:14,260.7,203.99,99,532.7,89630.2,1.0277,1.0369,ok,yes,36598.0,19516.9,16672.2,16843.1
TRES-5260829063315.fits,61281.273,06:33:07,260.68,202.99,100,492.9,88883.1,0.9618,1.0208,ok,yes,35921.5,19231.7,16876.2,16853.7
TRES-5260829063616.fits,61281.275,06:36:00,259.53,203.36,100,491.5,87132.6,0.9759,1.0094,ok,yes,35006.5,18997.1,16554.2,16574.8
TRES-5260829063915.fits,61281.277,06:38:52,261.72,203.04,100,463.8,88172.2,0.9133,1.0435,ok,yes,36091.6,19066.2,16520.6,16493.8
TRES-5260829064216.fits,61281.279,06:41:45,260.56,202.0,100,523.6,89399.2,1.0186,1.0168,outlier,no,36013.3,19493.6,16822.1,17070.2
TRES-5260829064515.fits,61281.281,06:44:38,261.38,201.33,100,520.8,88106.2,1.031,0.9735,ok,yes,34540.0,19624.7,16957.2,16984.3
TRES-5260829064815.fits,61281.284,06:48:57,262.59,201.22,100,476.8,87089.5,0.9566,1.0079,ok,yes,34847.2,18981.0,16614.5,16646.9
TRES-5260829065115.fits,61281.286,06:51:50,264.95,199.86,100,484.0,87326.8,0.975,1.0592,ok,yes,35909.0,18735.1,16312.7,16370.1
TRES-5260829065415.fits,61281.288,06:54:43,262.52,200.98,100,500.1,88689.4,0.986,1.012,ok,yes,35565.8,19478.1,16811.1,16834.4
TRES-5260829065715.fits,61281.29,06:57:36,263.78,199.58,100,434.1,87236.6,0.8751,1.0342,outlier,no,35373.7,18809.0,16657.0,16397.0
TRES-5260829070015.fits,61281.292,07:00:28,264.54,201.33,100,497.0,86923.8,1.001,0.9517,ok,yes,33569.7,19548.5,16923.3,16882.4
TRES-5260829070315.fits,61281.294,07:03:21,266.69,201.43,100,429.7,85820.5,0.8785,1.0312,ok,yes,34766.0,18506.7,16287.3,16260.5
TRES-5260829070615.fits,61281.296,07:06:14,265.97,197.95,100,513.8,85824.0,1.0607,1.0272,ok,yes,34578.6,18777.1,16224.6,16243.6
TRES-5260829070915.fits,61281.298,07:09:07,267.66,196.0,100,454.2,86627.7,0.9362,0.9539,ok,yes,33282.6,19604.8,16896.5,16843.9
TRES-5260829071215.fits,61281.3,07:12:00,267.81,195.91,100,505.1,87062.4,1.0366,0.9962,ok,yes,34344.0,19453.8,16685.6,16579.1
TRES-5260829071516.fits,61281.302,07:14:52,270.62,196.21,100,498.7,86316.7,1.0348,1.0011,ok,yes,34126.3,19139.3,16581.5,16469.6
TRES-5260829071815.fits,61281.304,07:17:45,270.36,196.31,100,510.9,85567.6,1.0687,0.9678,ok,yes,33146.9,19252.6,16685.0,16483.1
TRES-5260829072115.fits,61281.306,07:20:38,270.59,196.21,100,479.4,86059.5,0.9978,1.0091,ok,yes,34189.3,18892.7,16626.1,16351.4
TRES-5260829072415.fits,61281.309,07:24:57,272.87,193.83,100,505.1,86669.1,1.0544,0.9884,ok,yes,33890.2,19401.9,16713.6,16663.4
TRES-5260829072716.fits,61281.311,07:27:50,273.77,199.85,100,425.5,85425.3,0.8855,0.9624,ok,yes,33054.7,19151.6,16465.4,16753.6
TRES-5260829073016.fits,61281.313,07:30:43,274.43,197.98,100,488.6,85794.5,1.0191,0.9659,ok,yes,33201.1,19300.4,16700.8,16592.1
TRES-5260829073315.fits,61281.315,07:33:36,274.77,196.07,100,433.6,86826.7,0.8993,0.9907,ok,yes,34054.3,19421.9,16574.1,16776.4
TRES-5260829073615.fits,61281.317,07:36:28,276.57,197.31,100,456.3,84821.5,0.9672,0.9511,ok,yes,32465.4,19218.8,16647.0,16490.3
