target,night,file,mjd_obs,ut_time,rel_flux_global,noisy_night
Qatar-1,2026-08-18,Qatar-1260818082715.fits,61270.352,08:26:52,0.5093,yes
Qatar-1,2026-08-18,Qatar-1260818083016.fits,61270.354,08:29:45,0.948,yes
Qatar-1,2026-08-18,Qatar-1260818083615.fits,61270.359,08:36:57,0.5145,yes
Qatar-1,2026-08-18,Qatar-1260818083916.fits,61270.361,08:39:50,0.819,yes
Qatar-1,2026-08-18,Qatar-1260818084515.fits,61270.365,08:45:36,1.0173,yes
Qatar-1,2026-08-18,Qatar-1260818085115.fits,61270.369,08:51:21,1.3109,yes
Qatar-1,2026-08-18,Qatar-1260818090316.fits,61270.377,09:02:52,0.7187,yes
Qatar-1,2026-08-18,Qatar-1260818091215.fits,61270.384,09:12:57,1.2735,yes
Qatar-1,2026-08-18,Qatar-1260818091515.fits,61270.386,09:15:50,1.2471,yes
Qatar-1,2026-08-18,Qatar-1260818091816.fits,61270.388,09:18:43,1.0141,yes
Qatar-1,2026-08-18,Qatar-1260818092117.fits,61270.39,09:21:36,1.4778,yes
Qatar-1,2026-08-18,Qatar-1260818092415.fits,61270.392,09:24:28,1.1484,yes
Qatar-1,2026-08-18,Qatar-1260818093015.fits,61270.396,09:30:14,0.7065,yes
Qatar-1,2026-08-18,Qatar-1260818093316.fits,61270.398,09:33:07,1.3237,yes
Qatar-1,2026-08-18,Qatar-1260818094216.fits,61270.404,09:41:45,1.4938,yes
Qatar-1,2026-08-18,Qatar-1260818094516.fits,61270.406,09:44:38,0.5967,yes
Qatar-1,2026-08-18,Qatar-1260818095116.fits,61270.411,09:51:50,1.0339,yes
Qatar-1,2026-08-18,Qatar-1260818095416.fits,61270.413,09:54:43,0.5395,yes
Qatar-1,2026-08-18,Qatar-1260818095715.fits,61270.415,09:57:36,1.0531,yes
Qatar-1,2026-08-18,Qatar-1260818100015.fits,61270.417,10:00:28,1.2434,yes
Qatar-1,2026-08-18,Qatar-1260818100616.fits,61270.421,10:06:14,0.7082,yes
Qatar-1,2026-08-18,Qatar-1260818100915.fits,61270.423,10:09:07,0.7111,yes
Qatar-1,2026-08-18,Qatar-1260818101215.fits,61270.425,10:12:00,0.6177,yes
Qatar-1,2026-08-18,Qatar-1260818101515.fits,61270.427,10:14:52,0.5962,yes
Qatar-1,2026-08-18,Qatar-1260818101817.fits,61270.429,10:17:45,0.2595,yes
Qatar-1,2026-08-18,Qatar-1260818102115.fits,61270.431,10:20:38,1.2809,yes
Qatar-1,2026-08-18,Qatar-1260818102415.fits,61270.434,10:24:57,1.1564,yes
Qatar-1,2026-08-18,Qatar-1260818102716.fits,61270.436,10:27:50,1.0562,yes
Qatar-1,2026-08-18,Qatar-1260818103315.fits,61270.44,10:33:36,0.9342,yes
Qatar-1,2026-08-18,Qatar-1260818103916.fits,61270.444,10:39:21,0.778,yes
Qatar-1,2026-08-18,Qatar-1260818110015.fits,61270.459,11:00:57,0.897,yes
Qatar-1,2026-08-18,Qatar-1260818110316.fits,61270.461,11:03:50,1.2823,yes
Qatar-1,2026-08-18,Qatar-1260818110615.fits,61270.463,11:06:43,1.3516,yes
Qatar-1,2026-08-18,Qatar-1260818111215.fits,61270.467,11:12:28,1.3594,yes
Qatar-1,2026-08-18,Qatar-1260818112115.fits,61270.473,11:21:07,0.9859,yes
Qatar-1,2026-08-18,Qatar-1260818112715.fits,61270.477,11:26:52,1.0263,yes
Qatar-1,2026-08-18,Qatar-1260818113015.fits,61270.479,11:29:45,0.5695,yes
Qatar-1,2026-08-18,Qatar-1260818113615.fits,61270.484,11:36:57,0.9381,yes
Qatar-1,2026-08-18,Qatar-1260818113916.fits,61270.486,11:39:50,0.899,yes
Qatar-1,2026-08-18,Qatar-1260818114215.fits,61270.488,11:42:43,1.1303,yes
Qatar-1,2026-08-21,Qatar-1260821043927.fits,61273.194,04:39:21,1.0262,no
Qatar-1,2026-08-21,Qatar-1260821044515.fits,61273.198,04:45:07,0.9567,no
Qatar-1,2026-08-21,Qatar-1260821050315.fits,61273.211,05:03:50,0.9859,no
Qatar-1,2026-08-21,Qatar-1260821050615.fits,61273.213,05:06:43,1.0588,no
Qatar-1,2026-08-21,Qatar-1260821051815.fits,61273.221,05:18:14,0.9779,no
Qatar-1,2026-08-21,Qatar-1260821052416.fits,61273.225,05:24:00,0.9926,no
Qatar-1,2026-08-21,Qatar-1260821053616.fits,61273.234,05:36:57,0.969,no
Qatar-1,2026-08-21,Qatar-1260821053916.fits,61273.236,05:39:50,1.0025,no
Qatar-1,2026-08-21,Qatar-1260821054215.fits,61273.238,05:42:43,0.9986,no
Qatar-1,2026-08-21,Qatar-1260821054815.fits,61273.242,05:48:28,0.9337,no
Qatar-1,2026-08-21,Qatar-1260821055715.fits,61273.248,05:57:07,1.0117,no
Qatar-1,2026-08-21,Qatar-1260821060016.fits,61273.25,06:00:00,0.9853,no
Qatar-1,2026-08-21,Qatar-1260821060316.fits,61273.252,06:02:52,0.9639,no
Qatar-1,2026-08-21,Qatar-1260821060615.fits,61273.254,06:05:45,1.0197,no
Qatar-1,2026-08-21,Qatar-1260821061516.fits,61273.261,06:15:50,0.9425,no
Qatar-1,2026-08-21,Qatar-1260821062115.fits,61273.265,06:21:36,0.9697,no
Qatar-1,2026-08-21,Qatar-1260821062415.fits,61273.267,06:24:28,1.0265,no
Qatar-1,2026-08-21,Qatar-1260821062715.fits,61273.269,06:27:21,0.9835,no
Qatar-1,2026-08-21,Qatar-1260821063615.fits,61273.275,06:36:00,0.9795,no
Qatar-1,2026-08-21,Qatar-1260821063915.fits,61273.277,06:38:52,0.9634,no
Qatar-1,2026-08-21,Qatar-1260821064215.fits,61273.279,06:41:45,1.0,no
Qatar-1,2026-08-21,Qatar-1260821065115.fits,61273.286,06:51:50,0.9831,no
Qatar-1,2026-08-21,Qatar-1260821065415.fits,61273.288,06:54:43,1.0018,no
Qatar-1,2026-08-21,Qatar-1260821065715.fits,61273.29,06:57:36,0.9588,no
Qatar-1,2026-08-21,Qatar-1260821070015.fits,61273.292,07:00:28,1.0219,no
Qatar-1,2026-08-21,Qatar-1260821071216.fits,61273.3,07:12:00,1.0008,no
Qatar-1,2026-08-21,Qatar-1260821072115.fits,61273.306,07:20:38,1.0014,no
Qatar-1,2026-08-21,Qatar-1260821072415.fits,61273.309,07:24:57,1.0521,no
Qatar-1,2026-08-21,Qatar-1260821073615.fits,61273.317,07:36:28,1.0673,no
Qatar-1,2026-08-21,Qatar-1260821073916.fits,61273.319,07:39:21,1.0511,no
Qatar-1,2026-08-21,Qatar-1260821074515.fits,61273.323,07:45:07,1.0084,no
Qatar-1,2026-08-21,Qatar-1260821074815.fits,61273.325,07:48:00,1.0423,no
Qatar-1,2026-08-21,Qatar-1260821075115.fits,61273.327,07:50:52,0.9417,no
Qatar-1,2026-08-21,Qatar-1260821075415.fits,61273.329,07:53:45,1.0178,no
Qatar-1,2026-08-21,Qatar-1260821075715.fits,61273.331,07:56:38,0.9799,no
Qatar-1,2026-08-21,Qatar-1260821080016.fits,61273.334,08:00:57,0.9793,no
Qatar-1,2026-08-21,Qatar-1260821080916.fits,61273.34,08:09:36,1.024,no
Qatar-1,2026-08-21,Qatar-1260821081215.fits,61273.342,08:12:28,1.052,no
Qatar-1,2026-08-21,Qatar-1260821081515.fits,61273.344,08:15:21,1.0453,no
