target,night,file,mjd_obs,ut_time,rel_flux_global,noisy_night
TRES-5,2026-08-26,TRES-5260826093916.fits,61278.402,09:38:52,0.9042,no
TRES-5,2026-08-26,TRES-5260826094515.fits,61278.406,09:44:38,1.0021,no
TRES-5,2026-08-26,TRES-5260826094816.fits,61278.409,09:48:57,1.0244,no
TRES-5,2026-08-26,TRES-5260826095115.fits,61278.411,09:51:50,0.9559,no
TRES-5,2026-08-26,TRES-5260826095415.fits,61278.413,09:54:43,0.9469,no
TRES-5,2026-08-26,TRES-5260826100015.fits,61278.417,10:00:28,0.9573,no
TRES-5,2026-08-29,TRES-5260829055721.fits,61281.248,05:57:07,1.0139,no
TRES-5,2026-08-29,TRES-5260829061035.fits,61281.257,06:10:04,0.9882,no
TRES-5,2026-08-29,TRES-5260829061219.fits,61281.259,06:12:57,1.1176,no
TRES-5,2026-08-29,TRES-5260829061402.fits,61281.26,06:14:24,0.9926,no
TRES-5,2026-08-29,TRES-5260829061546.fits,61281.261,06:15:50,1.0368,no
TRES-5,2026-08-29,TRES-5260829061815.fits,61281.263,06:18:43,1.0977,no
TRES-5,2026-08-29,TRES-5260829062115.fits,61281.265,06:21:36,1.076,no
TRES-5,2026-08-29,TRES-5260829062415.fits,61281.267,06:24:28,1.0909,no
TRES-5,2026-08-29,TRES-5260829062715.fits,61281.269,06:27:21,1.0007,no
TRES-5,2026-08-29,TRES-5260829063015.fits,61281.271,06:30:14,1.0635,no
TRES-5,2026-08-29,TRES-5260829063315.fits,61281.273,06:33:07,0.9924,no
TRES-5,2026-08-29,TRES-5260829063616.fits,61281.275,06:36:00,1.0094,no
TRES-5,2026-08-29,TRES-5260829063915.fits,61281.277,06:38:52,0.9413,no
TRES-5,2026-08-29,TRES-5260829064515.fits,61281.281,06:44:38,1.0578,no
TRES-5,2026-08-29,TRES-5260829064815.fits,61281.284,06:48:57,0.9797,no
TRES-5,2026-08-29,TRES-5260829065115.fits,61281.286,06:51:50,0.9918,no
TRES-5,2026-08-29,TRES-5260829065415.fits,61281.288,06:54:43,1.009,no
TRES-5,2026-08-29,TRES-5260829070015.fits,61281.292,07:00:28,1.0232,no
TRES-5,2026-08-29,TRES-5260829070315.fits,61281.294,07:03:21,0.896,no
TRES-5,2026-08-29,TRES-5260829070615.fits,61281.296,07:06:14,1.0713,no
TRES-5,2026-08-29,TRES-5260829070915.fits,61281.298,07:09:07,0.9382,no
TRES-5,2026-08-29,TRES-5260829071215.fits,61281.3,07:12:00,1.0382,no
TRES-5,2026-08-29,TRES-5260829071516.fits,61281.302,07:14:52,1.0339,no
TRES-5,2026-08-29,TRES-5260829071815.fits,61281.304,07:17:45,1.0684,no
TRES-5,2026-08-29,TRES-5260829072115.fits,61281.306,07:20:38,0.9968,no
TRES-5,2026-08-29,TRES-5260829072415.fits,61281.309,07:24:57,1.0429,no
TRES-5,2026-08-29,TRES-5260829072716.fits,61281.311,07:27:50,0.8913,no
TRES-5,2026-08-29,TRES-5260829073016.fits,61281.313,07:30:43,1.0191,no
TRES-5,2026-08-29,TRES-5260829073315.fits,61281.315,07:33:36,0.8936,no
TRES-5,2026-08-29,TRES-5260829073615.fits,61281.317,07:36:28,0.9627,no
TRES-5,2026-08-29,TRES-5260829073915.fits,61281.319,07:39:21,1.0073,no
TRES-5,2026-08-29,TRES-5260829074217.fits,61281.321,07:42:14,0.9066,no
TRES-5,2026-08-29,TRES-5260829074515.fits,61281.323,07:45:07,0.9834,no
TRES-5,2026-08-29,TRES-5260829074815.fits,61281.325,07:48:00,1.0135,no
