night,target,session,file,mjd_obs,ut_obs,weather,n_detected,solved,convention,n_matched,x_real,y_real,sep_pix,target_detected
2026-08-18,Qatar-1,session_01,Qatar-1260818082449.fits,61270.351,2026-08-18T08:24:49.906-0000,100,45,yes,flip-y,11,319.88,156.7,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818082715.fits,61270.352,2026-08-18T08:27:15.461-0000,100,45,yes,flip-y,13,333.2,148.91,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818083016.fits,61270.354,2026-08-18T08:30:16.788-0000,100,45,yes,flip-y,13,335.14,152.22,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818083316.fits,61270.356,2026-08-18T08:33:16.158-0000,100,45,yes,flip-y,12,336.26,155.33,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818083615.fits,61270.359,2026-08-18T08:36:15.528-0000,100,45,yes,flip-y,13,339.66,154.14,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818083916.fits,61270.361,2026-08-18T08:39:16.942-0000,100,45,yes,flip-y,13,341.43,153.65,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818084215.fits,61270.363,2026-08-18T08:42:15.374-0000,100,45,yes,flip-y,13,341.58,153.3,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818084515.fits,61270.365,2026-08-18T08:45:15.732-0000,100,45,yes,flip-y,11,344.56,151.14,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818084815.fits,61270.367,2026-08-18T08:48:15.174-0000,100,45,yes,flip-y,14,345.01,148.64,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818085115.fits,61270.369,2026-08-18T08:51:15.476-0000,100,45,yes,flip-y,10,346.72,153.58,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818085415.fits,61270.371,2026-08-18T08:54:15.830-0000,100,45,yes,flip-y,12,348.07,153.22,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818085716.fits,61270.373,2026-08-18T08:57:16.249-0000,100,45,yes,flip-y,13,348.49,151.53,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818090016.fits,61270.375,2026-08-18T09:00:16.671-0000,100,45,yes,flip-y,12,350.92,152.82,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818090316.fits,61270.377,2026-08-18T09:03:16.918-0000,100,45,yes,flip-y,12,352.54,151.9,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818090615.fits,61270.379,2026-08-18T09:06:15.169-0000,100,45,yes,flip-y,13,352.61,148.91,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818090915.fits,61270.381,2026-08-18T09:09:15.591-0000,100,45,yes,flip-y,11,340.21,151.83,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818091215.fits,61270.384,2026-08-18T09:12:15.971-0000,100,45,yes,flip-y,12,355.75,154.15,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818091515.fits,61270.386,2026-08-18T09:15:15.198-0000,100,45,yes,flip-y,12,356.72,152.85,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818091816.fits,61270.388,2026-08-18T09:18:16.537-0000,100,45,yes,flip-y,12,358.96,150.68,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818092117.fits,61270.39,2026-08-18T09:21:17.011-0000,100,45,yes,flip-y,13,359.13,148.66,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818092415.fits,61270.392,2026-08-18T09:24:15.300-0000,100,45,yes,flip-y,12,359.66,154.09,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818092715.fits,61270.394,2026-08-18T09:27:15.667-0000,100,45,yes,flip-y,12,363.57,152.2,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818093015.fits,61270.396,2026-08-18T09:30:15.977-0000,100,45,yes,flip-y,12,363.62,150.94,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818093316.fits,61270.398,2026-08-18T09:33:16.341-0000,100,45,yes,flip-y,12,362.05,149.75,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818093615.fits,61270.4,2026-08-18T09:36:15.845-0000,100,45,yes,flip-y,13,364.47,149.41,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818093916.fits,61270.402,2026-08-18T09:39:16.175-0000,100,45,yes,flip-y,12,367.07,153.01,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818094216.fits,61270.404,2026-08-18T09:42:16.561-0000,100,45,yes,flip-y,12,367.89,152.17,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818094516.fits,61270.406,2026-08-18T09:45:16.032-0000,100,45,yes,flip-y,12,367.24,155.01,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818094815.fits,61270.409,2026-08-18T09:48:15.299-0000,100,45,yes,flip-y,12,368.12,150.93,,no
2026-08-18,Qatar-1,session_01,Qatar-1260818095116.fits,61270.411,2026-08-18T09:51:16.638-0000,100,45,yes,flip-y,13,372.14,155.28,,no
