file,mjd_obs,ut_time,x,y,weather,target_flux,ensemble_flux,rel_flux,check_flux,status,used,comp4_flux,comp5_flux,comp10_flux,comp13_flux,comp14_flux
TRES-5260817091750.fits,61269.387,09:17:16,298.62,203.55,100,562.1,,,,position,no,39639.9,,20293.1,18504.2,18356.6
TRES-5260817092423.fits,61269.392,09:24:28,301.56,268.07,100,547.1,,,,position,no,41307.5,,20246.2,18402.4,18250.7
TRES-5260817092606.fits,61269.393,09:25:55,305.0,203.76,100,575.3,,,,position,no,41626.9,,20466.4,18379.7,18264.1
TRES-5260817093238.fits,61269.398,09:33:07,304.82,263.05,100,570.9,,,,position,no,41908.4,,20073.5,18506.7,18211.2
TRES-5260817093730.fits,61269.401,09:37:26,309.06,225.47,100,530.4,170896.7,0.8819,1.0193,position,no,42134.3,71835.5,20182.6,18562.5,18181.8
TRES-5260817093914.fits,61269.402,09:38:52,310.56,207.02,100,594.0,168814.2,0.996,0.9971,position,no,41463.9,70365.7,20465.7,18245.2,18273.7
TRES-5260817094059.fits,61269.403,09:40:19,311.72,205.83,100,507.6,168540.5,0.8541,0.9757,position,no,40742.3,70859.3,20380.5,18467.1,18091.2
TRES-5260817094242.fits,61269.405,09:43:12,313.83,206.36,100,555.1,171161.5,0.9235,0.9943,position,no,41927.8,72788.7,20070.7,18314.2,18060.0
TRES-5260817094427.fits,61269.406,09:44:38,314.62,202.05,100,533.1,,,,position,no,,72463.5,20196.8,18427.4,18084.4
TRES-5260817094610.fits,61269.407,09:46:04,314.65,201.92,100,580.6,169060.3,0.9778,0.9847,position,no,41229.7,70742.8,20370.8,18546.6,18170.4
TRES-5260817094753.fits,61269.408,09:47:31,316.66,206.88,100,562.8,,,,position,no,40373.7,,20297.0,18301.3,18235.3
TRES-5260817094938.fits,61269.409,09:48:57,318.54,207.94,100,582.1,167696.9,0.9978,0.9825,ok,yes,40602.1,70117.4,20090.8,18496.1,18390.6
TRES-5260817095122.fits,61269.411,09:51:50,318.13,207.67,100,609.1,170676.1,1.0249,1.0014,ok,yes,41937.4,71911.4,20064.8,18609.5,18153.0
TRES-5260817095415.fits,61269.413,09:54:43,318.46,204.9,100,576.6,167396.5,0.989,0.9893,position,no,40832.4,69966.2,20091.9,18340.5,18165.6
TRES-5260817095716.fits,61269.415,09:57:36,319.63,203.8,100,570.3,129870.5,1.2629,1.3186,position,no,39067.3,34492.4,19823.6,18393.3,18094.0
TRES-5260817100015.fits,61269.417,10:00:28,321.8,212.68,100,530.3,167352.6,0.9181,0.9998,ok,yes,40872.8,70071.9,20195.0,18339.9,17873.0
TRES-5260817100315.fits,61269.419,10:03:21,324.03,209.63,100,559.5,167804.4,0.9691,1.0034,ok,yes,41155.9,70335.6,19984.4,18234.1,18094.4
TRES-5260817100616.fits,61269.421,10:06:14,323.03,208.5,100,601.7,169411.5,1.0299,0.9916,outlier,no,41227.1,71696.5,20004.6,18411.0,18072.2
TRES-5260817100915.fits,61269.423,10:09:07,325.72,206.08,100,555.6,166654.6,0.9708,1.0015,ok,yes,40898.7,69443.0,20053.0,18309.4,17950.5
TRES-5260817101216.fits,61269.425,10:12:00,328.85,210.96,100,541.0,166086.4,0.9559,1.0084,ok,yes,40786.8,69211.0,20064.8,18234.6,17789.2
TRES-5260817101515.fits,61269.427,10:14:52,329.9,206.98,100,546.8,167172.3,0.9605,1.0057,outlier,no,41072.8,70492.9,19742.3,18071.2,17793.1
TRES-5260817101815.fits,61269.429,10:17:45,331.84,205.95,100,581.8,167736.5,1.0221,0.994,ok,yes,40854.1,70490.3,20296.1,18416.6,17679.4
TRES-5260817102116.fits,61269.431,10:20:38,331.71,203.97,100,556.5,,,,no_flux,no,40697.8,,20089.3,18506.9,17872.5
TRES-5260817102415.fits,61269.434,10:24:57,334.71,210.85,100,563.8,,,,no_flux,no,40856.7,,19850.6,18113.8,17983.6
TRES-5260817102715.fits,61269.436,10:27:50,337.78,208.44,100,564.2,165713.5,1.0158,1.0042,ok,yes,40523.2,69533.7,19774.1,17973.2,17909.2
TRES-5260817103015.fits,61269.438,10:30:43,337.91,209.53,100,567.6,166818.1,1.0159,1.0076,ok,yes,40863.0,70392.3,19663.4,18183.5,17715.9
TRES-5260817103316.fits,61269.44,10:33:36,338.7,213.88,100,473.6,,,,position,no,40620.9,,19877.8,17984.4,17752.2
TRES-5260817103616.fits,61269.442,10:36:28,341.67,210.03,100,550.3,163365.3,1.0133,0.9996,ok,yes,39714.1,68219.0,19782.9,17981.4,17667.9
TRES-5260817103915.fits,61269.444,10:39:21,343.12,210.63,100,549.6,,,,no_flux,no,39786.5,,19746.3,17806.4,17561.2
TRES-5260817104216.fits,61269.446,10:42:14,342.99,206.59,100,546.6,166261.0,0.9903,0.9942,outlier,no,40337.6,70580.6,19759.3,17887.8,17695.6
TRES-5260817104515.fits,61269.448,10:45:07,345.89,209.93,100,524.0,,,,no_flux,no,39820.1,,19532.7,17784.0,17606.1
TRES-5260817104815.fits,61269.45,10:48:00,346.1,211.59,100,526.0,164733.7,0.9697,1.0,outlier,no,39956.7,69971.2,19671.2,17749.4,17385.3
TRES-5260817105115.fits,61269.452,10:50:52,349.01,209.56,100,558.2,165787.5,1.0276,0.9976,ok,yes,40160.4,70618.0,19831.5,17771.6,17406.1
TRES-5260817105415.fits,61269.454,10:53:45,350.19,217.41,100,551.2,163774.4,1.0328,1.0197,position,no,40090.2,68576.8,19678.9,17823.1,17605.4
TRES-5260817105715.fits,61269.456,10:56:38,350.02,212.47,100,540.5,163378.6,1.013,1.0124,ok,yes,39922.6,68674.2,19518.9,17732.6,17530.4
TRES-5260817110015.fits,61269.459,11:00:57,353.66,209.99,100,525.8,161218.9,1.0049,1.0267,ok,yes,39838.9,66932.8,19558.2,17515.0,17374.0
TRES-5260817110315.fits,61269.461,11:03:50,353.96,206.84,100,543.2,163699.6,1.0218,0.9988,position,no,39707.6,69545.5,19238.2,17751.9,17456.3
TRES-5260817110616.fits,61269.463,11:06:43,361.6,219.4,100,239.1,,,,position,no,,68536.2,19575.0,17457.9,
TRES-5260817110915.fits,61269.465,11:09:36,356.93,214.0,100,515.7,163680.1,0.9789,0.9904,ok,yes,39203.5,70085.2,19401.2,17536.6,17453.6
TRES-5260817111215.fits,61269.467,11:12:28,358.04,212.05,100,551.0,163298.9,1.05,0.9923,ok,yes,39211.0,69626.5,19538.8,17694.6,17228.0
TRES-5260817111515.fits,61269.469,11:15:21,361.74,217.73,100,466.9,163045.3,0.8998,1.0038,ok,yes,39279.1,69952.4,19398.6,17387.1,17028.1
TRES-5260817111815.fits,61269.471,11:18:14,360.84,214.86,100,475.6,161364.7,0.9234,0.9999,ok,yes,38854.6,68725.6,19481.5,17371.5,16931.5
TRES-5260817112115.fits,61269.473,11:21:07,363.2,213.33,100,411.0,160671.3,0.8048,0.9863,ok,yes,38299.2,68651.9,19628.9,17169.2,16922.0
