file,mjd_obs,ut_time,x,y,weather,target_flux,ensemble_flux,rel_flux,check_flux,status,used,comp1_flux,comp10_flux,comp13_flux
TRES-5260820083615.fits,61272.359,08:36:57,304.49,182.4,2,69.4,21008.9,0.4596,0.8414,weather,no,12173.3,4595.6,4239.9
TRES-5260820083915.fits,61272.361,08:39:50,307.39,182.01,2,7.9,8229.6,0.1397,0.8347,weather,no,4736.0,1823.5,1670.2
TRES-5260820084216.fits,61272.363,08:42:43,307.95,182.08,2,32.4,8868.0,0.5346,0.818,weather,no,5056.5,1988.9,1822.7
TRES-5260820084515.fits,61272.365,08:45:36,308.71,180.55,2,28.4,8343.1,0.5172,0.8658,weather,no,4864.2,1819.9,1659.0
TRES-5260820084815.fits,61272.367,08:48:28,310.13,187.38,2,94.6,,,,weather,no,,4123.6,3815.6
TRES-5260820085115.fits,61272.369,08:51:21,312.62,187.88,2,73.8,17711.7,0.5869,0.8546,weather,no,10270.5,3782.8,3658.4
TRES-5260820085416.fits,61272.371,08:54:14,314.15,184.37,2,101.1,,,,weather,no,,4765.2,4363.1
TRES-5260820085716.fits,61272.373,08:57:07,312.98,183.56,2,66.7,,,,weather,no,,3387.0,3037.5
TRES-5260820090015.fits,61272.375,09:00:00,314.74,184.77,2,30.1,16797.9,0.2744,0.8553,weather,no,9702.5,3724.2,3371.2
TRES-5260820090315.fits,61272.377,09:02:52,315.61,185.64,4,70.8,,,,weather,no,,4291.0,3871.9
TRES-5260820090617.fits,61272.379,09:05:45,314.94,190.25,4,31.2,12588.4,0.3458,0.8289,weather,no,7197.0,2814.3,2577.1
TRES-5260820090915.fits,61272.381,09:08:38,316.85,189.19,4,40.7,,,,weather,no,,2532.1,2337.8
TRES-5260820091215.fits,61272.384,09:12:57,317.12,187.54,4,66.5,,,,weather,no,,3726.6,3447.8
TRES-5260820091515.fits,61272.386,09:15:50,320.36,186.42,4,62.9,,,,weather,no,,3100.6,2908.2
TRES-5260820091815.fits,61272.388,09:18:43,324.01,184.44,4,40.7,14833.7,0.4872,0.853,weather,no,8464.1,3335.5,3034.2
TRES-5260820092116.fits,61272.39,09:21:36,320.96,190.61,4,119.6,,,,weather,no,,4122.5,3838.3
TRES-5260820092415.fits,61272.392,09:24:28,322.82,188.47,4,140.5,,,,weather,no,,5159.9,4782.2
TRES-5260820092716.fits,61272.394,09:27:21,325.0,187.45,4,132.1,,,,weather,no,,5177.5,4891.8
TRES-5260820093016.fits,61272.396,09:30:14,324.6,184.63,4,104.2,,,,weather,no,,4308.4,3979.2
TRES-5260820093315.fits,61272.398,09:33:07,326.12,186.27,15,74.1,,,,weather,no,,3000.2,2690.2
TRES-5260820093615.fits,61272.4,09:36:00,328.68,190.26,15,36.7,,,,weather,no,,2869.0,2627.3
TRES-5260820093915.fits,61272.402,09:38:52,329.23,189.42,15,79.4,21998.1,0.6272,0.8825,weather,no,12696.9,4812.2,4489.0
TRES-5260820094215.fits,61272.404,09:41:45,332.52,188.54,15,49.1,,,,weather,no,,3043.9,2779.0
TRES-5260820102115.fits,61272.431,10:20:38,347.86,191.88,22,,,,0.9573,weather,no,5062.3,1868.1,1724.1
TRES-5260820103015.fits,61272.438,10:30:43,353.38,183.68,22,67.4,,,,weather,no,,3798.8,3538.5
TRES-5260820103315.fits,61272.44,10:33:36,354.7,192.59,36,91.7,24854.8,0.9734,0.8906,weather,no,13983.2,5632.8,5238.8
TRES-5260820104215.fits,61272.446,10:42:14,357.11,194.25,36,155.3,,,,weather,no,,7195.9,6459.8
