target,night,file,mjd_obs,ut_time,rel_flux_global,noisy_night
TRES-3,2026-08-27,TRES-3260827081515.fits,61279.344,08:15:21,0.9772,no
TRES-3,2026-08-27,TRES-3260827081815.fits,61279.346,08:18:14,1.1089,no
TRES-3,2026-08-27,TRES-3260827082415.fits,61279.35,08:24:00,0.9844,no
TRES-3,2026-08-27,TRES-3260827083315.fits,61279.356,08:32:38,1.0469,no
TRES-3,2026-08-27,TRES-3260827083616.fits,61279.359,08:36:57,1.0158,no
TRES-3,2026-08-27,TRES-3260827083915.fits,61279.361,08:39:50,0.9209,no
TRES-3,2026-08-27,TRES-3260827084215.fits,61279.363,08:42:43,0.9426,no
TRES-3,2026-08-27,TRES-3260827084515.fits,61279.365,08:45:36,0.9874,no
TRES-3,2026-08-27,TRES-3260827084816.fits,61279.367,08:48:28,1.0314,no
TRES-3,2026-08-27,TRES-3260827085115.fits,61279.369,08:51:21,1.0184,no
TRES-3,2026-08-27,TRES-3260827085415.fits,61279.371,08:54:14,1.0324,no
TRES-3,2026-08-27,TRES-3260827085715.fits,61279.373,08:57:07,1.0126,no
TRES-3,2026-08-27,TRES-3260827090015.fits,61279.375,09:00:00,0.975,no
TRES-3,2026-08-27,TRES-3260827090316.fits,61279.377,09:02:52,0.9691,no
