night,target,session,file,mjd_obs,ut_obs,weather,n_detected,solved,convention,n_matched,x_real,y_real,sep_pix,target_detected
2026-08-06,TRES-1,session_01,TRES-1260806073422.fits,61258.316,2026-08-06T07:34:22.622-0000,0,4,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806073617.fits,61258.317,2026-08-06T07:36:17.324-0000,0,2,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806073917.fits,61258.319,2026-08-06T07:39:17.185-0000,0,0,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806074222.fits,61258.321,2026-08-06T07:42:22.170-0000,0,2,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806074515.fits,61258.323,2026-08-06T07:45:15.981-0000,0,2,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806074834.fits,61258.325,2026-08-06T07:48:34.961-0000,0,1,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806075116.fits,61258.327,2026-08-06T07:51:16.069-0000,0,4,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806075417.fits,61258.329,2026-08-06T07:54:17.795-0000,0,1,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806075727.fits,61258.332,2026-08-06T07:57:27.502-0000,0,1,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806080016.fits,61258.334,2026-08-06T08:00:16.336-0000,0,0,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806080337.fits,61258.336,2026-08-06T08:03:37.595-0000,0,3,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806080615.fits,61258.338,2026-08-06T08:06:15.223-0000,0,0,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806080916.fits,61258.34,2026-08-06T08:09:16.570-0000,0,3,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806081236.fits,61258.342,2026-08-06T08:12:36.832-0000,0,0,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806081516.fits,61258.344,2026-08-06T08:15:16.827-0000,0,4,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806081815.fits,61258.346,2026-08-06T08:18:15.822-0000,0,2,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806082127.fits,61258.348,2026-08-06T08:21:27.062-0000,0,2,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806082415.fits,61258.35,2026-08-06T08:24:15.942-0000,0,1,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806082715.fits,61258.352,2026-08-06T08:27:15.425-0000,0,3,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806083024.fits,61258.354,2026-08-06T08:30:24.327-0000,0,3,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806083316.fits,61258.356,2026-08-06T08:33:16.725-0000,0,1,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806083633.fits,61258.359,2026-08-06T08:36:33.587-0000,0,1,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806083915.fits,61258.361,2026-08-06T08:39:15.453-0000,0,3,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806084216.fits,61258.363,2026-08-06T08:42:16.054-0000,0,1,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806084527.fits,61258.365,2026-08-06T08:45:27.961-0000,0,0,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806084815.fits,61258.367,2026-08-06T08:48:15.583-0000,0,0,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806085115.fits,61258.369,2026-08-06T08:51:15.452-0000,0,2,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806085422.fits,61258.371,2026-08-06T08:54:23.015-0000,0,0,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806085715.fits,61258.373,2026-08-06T08:57:15.213-0000,0,5,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806090033.fits,61258.375,2026-08-06T09:00:33.239-0000,0,2,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806090316.fits,61258.377,2026-08-06T09:03:16.845-0000,0,2,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806090615.fits,61258.379,2026-08-06T09:06:15.398-0000,0,0,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806090928.fits,61258.382,2026-08-06T09:09:28.304-0000,0,0,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806091215.fits,61258.384,2026-08-06T09:12:15.556-0000,0,3,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806091516.fits,61258.386,2026-08-06T09:15:16.378-0000,0,5,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806091823.fits,61258.388,2026-08-06T09:18:23.719-0000,0,2,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806092116.fits,61258.39,2026-08-06T09:21:16.018-0000,0,0,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806092434.fits,61258.392,2026-08-06T09:24:34.395-0000,0,2,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806092716.fits,61258.394,2026-08-06T09:27:16.247-0000,0,3,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806093016.fits,61258.396,2026-08-06T09:30:16.226-0000,0,2,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806093333.fits,61258.398,2026-08-06T09:33:33.026-0000,0,2,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806093615.fits,61258.4,2026-08-06T09:36:15.675-0000,0,3,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806093915.fits,61258.402,2026-08-06T09:39:15.399-0000,0,2,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806094228.fits,61258.404,2026-08-06T09:42:28.181-0000,0,0,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806094515.fits,61258.406,2026-08-06T09:45:15.419-0000,0,2,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806094815.fits,61258.409,2026-08-06T09:48:15.483-0000,0,1,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806095128.fits,61258.411,2026-08-06T09:51:28.405-0000,0,0,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806095415.fits,61258.413,2026-08-06T09:54:15.168-0000,0,2,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806095736.fits,61258.415,2026-08-06T09:57:36.652-0000,0,1,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806100015.fits,61258.417,2026-08-06T10:00:15.373-0000,0,1,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806100315.fits,61258.419,2026-08-06T10:03:15.617-0000,0,0,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806100634.fits,61258.421,2026-08-06T10:06:34.613-0000,0,2,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806100915.fits,61258.423,2026-08-06T10:09:15.755-0000,0,0,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806101215.fits,61258.425,2026-08-06T10:12:15.995-0000,0,0,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806101528.fits,61258.427,2026-08-06T10:15:28.198-0000,0,1,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806101815.fits,61258.429,2026-08-06T10:18:15.952-0000,0,2,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806102115.fits,61258.431,2026-08-06T10:21:15.812-0000,0,1,no,,0,,,,no
2026-08-06,TRES-1,session_01,TRES-1260806102425.fits,61258.434,2026-08-06T10:24:25.998-0000,0,0,no,,0,,,,no
