night,target,session,n_frames,n_solved,n_target_detected,convention,x_median,y_median
2026-08-06,TRES-1,session_01,91,0,0,-,,
2026-08-08,WASP-10,session_01,86,7,0,flip-x_flip-y,,
2026-08-09,CoRoT-2,session_01,87,1,0,flip-x_flip-y,,
2026-08-10,TRES-3,session_01,70,25,0,flip-y,,
2026-08-11,WASP-2,session_01,78,13,0,flip-y,,
2026-08-14,TRES-3,session_01,51,0,0,-,,
2026-08-16,CoRoT-2,session_01,86,0,0,-,,
2026-08-17,TRES-5,session_01,74,56,0,flip-y,,
2026-08-18,Qatar-1,session_01,75,73,0,flip-y,,
2026-08-20,TRES-5,session_01,74,67,0,flip-y,,
2026-08-21,Qatar-1,session_01,74,74,0,flip-y,,
2026-08-23,CoRoT-2,session_01,86,0,0,-,,
2026-08-24,WASP-2,session_01,77,7,0,flip-y,,
2026-08-26,TRES-5,session_01,74,65,0,flip-y,,
2026-08-27,TRES-3,session_01,70,20,1,flip-y,308.8,200.9
2026-08-28,Qatar-1,session_01,73,11,0,flip-y,,
2026-08-29,TRES-5,session_01,74,74,0,flip-y,,
2026-08-30,CoRoT-2,session_01,87,0,0,-,,
2026-08-31,TRES-3,session_01,70,1,0,N-up_E-left,,
2026-09-01,TRES-5,session_01,74,74,0,flip-y,,
2026-09-04,TRES-5,session_01,57,57,0,flip-y,,
2026-09-05,HATP-10,session_01,93,19,0,N-up_E-left,,
