file_name,relative_path,target_name,date_obs,obs_date,exposure,filter
Dark-C-260806124514.fits,calibration\2026-08-06\Dark-C-260806124514.fits,Dark-C-,2026-08-06T05:45:14.317-0700,2026-08-06,,Opaque
Dark-C-260806125119.fits,calibration\2026-08-06\Dark-C-260806125119.fits,Dark-C-,2026-08-06T05:51:19.482-0700,2026-08-06,,Opaque
Dark-C-260807123949.fits,calibration\2026-08-07\Dark-C-260807123949.fits,Dark-C-,2026-08-07T05:39:49.561-0700,2026-08-07,,Opaque
Dark-C-260807124553.fits,calibration\2026-08-07\Dark-C-260807124553.fits,Dark-C-,2026-08-07T05:45:53.100-0700,2026-08-07,,Opaque
Dark-C-260808123758.fits,calibration\2026-08-08\Dark-C-260808123758.fits,Dark-C-,2026-08-08T05:37:58.221-0700,2026-08-08,,Opaque
Dark-C-260808124401.fits,calibration\2026-08-08\Dark-C-260808124401.fits,Dark-C-,2026-08-08T05:44:01.744-0700,2026-08-08,,Opaque
Dark-C-260809052054.fits,calibration\2026-08-09\Dark-C-260809052054.fits,Dark-C-,2026-08-08T22:20:54.224-0700,2026-08-08,,Opaque
Dark-C-260809052457.fits,calibration\2026-08-09\Dark-C-260809052457.fits,Dark-C-,2026-08-08T22:24:57.132-0700,2026-08-08,,Opaque
Dark-C-260810123529.fits,calibration\2026-08-10\Dark-C-260810123529.fits,Dark-C-,2026-08-10T05:35:29.930-0700,2026-08-10,,Opaque
Dark-C-260810124133.fits,calibration\2026-08-10\Dark-C-260810124133.fits,Dark-C-,2026-08-10T05:41:33.207-0700,2026-08-10,,Opaque
Dark-C-260811065634.fits,calibration\2026-08-11\Dark-C-260811065634.fits,Dark-C-,2026-08-10T23:56:34.330-0700,2026-08-10,,Opaque
Dark-C-260811070036.fits,calibration\2026-08-11\Dark-C-260811070036.fits,Dark-C-,2026-08-11T00:00:36.347-0700,2026-08-11,,Opaque
Dark-C-260812132017.fits,calibration\2026-08-12\Dark-C-260812132017.fits,Dark-C-,2026-08-12T06:20:17.635-0700,2026-08-12,,Opaque
Dark-C-260812132634.fits,calibration\2026-08-12\Dark-C-260812132634.fits,Dark-C-,2026-08-12T06:26:34.986-0700,2026-08-12,,Opaque
Dark-C-260813131225.fits,calibration\2026-08-13\Dark-C-260813131225.fits,Dark-C-,2026-08-13T06:12:25.847-0700,2026-08-13,,Opaque
Dark-C-260813131845.fits,calibration\2026-08-13\Dark-C-260813131845.fits,Dark-C-,2026-08-13T06:18:45.633-0700,2026-08-13,,Opaque
Dark-C-260814041126.fits,calibration\2026-08-14\Dark-C-260814041126.fits,Dark-C-,2026-08-13T21:11:26.211-0700,2026-08-13,,Opaque
Dark-C-260814041518.fits,calibration\2026-08-14\Dark-C-260814041518.fits,Dark-C-,2026-08-13T21:15:18.988-0700,2026-08-13,,Opaque
Dark-C-260815125751.fits,calibration\2026-08-15\Dark-C-260815125751.fits,Dark-C-,2026-08-15T05:57:51.164-0700,2026-08-15,,Opaque
Dark-C-260815130350.fits,calibration\2026-08-15\Dark-C-260815130350.fits,Dark-C-,2026-08-15T06:03:50.550-0700,2026-08-15,,Opaque
Dark-C-260816105136.fits,calibration\2026-08-16\Dark-C-260816105136.fits,Dark-C-,2026-08-16T03:51:36.514-0700,2026-08-16,,Opaque
Dark-C-260816105416.fits,calibration\2026-08-16\Dark-C-260816105416.fits,Dark-C-,2026-08-16T03:54:16.145-0700,2026-08-16,,Opaque
Dark-C-260817143529.fits,calibration\2026-08-17\Dark-C-260817143529.fits,Dark-C-,2026-08-17T07:35:29.740-0700,2026-08-17,,Opaque
Dark-C-260817144151.fits,calibration\2026-08-17\Dark-C-260817144151.fits,Dark-C-,2026-08-17T07:41:51.931-0700,2026-08-17,,Opaque
Dark-C-260818123305.fits,calibration\2026-08-18\Dark-C-260818123305.fits,Dark-C-,2026-08-18T05:33:05.761-0700,2026-08-18,,Opaque
Dark-C-260818123900.fits,calibration\2026-08-18\Dark-C-260818123900.fits,Dark-C-,2026-08-18T05:39:00.016-0700,2026-08-18,,Opaque
Dark-C-260819131908.fits,calibration\2026-08-19\Dark-C-260819131908.fits,Dark-C-,2026-08-19T06:19:08.506-0700,2026-08-19,,Opaque
Dark-C-260819132516.fits,calibration\2026-08-19\Dark-C-260819132516.fits,Dark-C-,2026-08-19T06:25:17.001-0700,2026-08-19,,Opaque
Dark-C-260820122815.fits,calibration\2026-08-20\Dark-C-260820122815.fits,Dark-C-,2026-08-20T05:28:15.897-0700,2026-08-20,,Opaque
Dark-C-260820123412.fits,calibration\2026-08-20\Dark-C-260820123412.fits,Dark-C-,2026-08-20T05:34:12.250-0700,2026-08-20,,Opaque
Dark-C-260821102439.fits,calibration\2026-08-21\Dark-C-260821102439.fits,Dark-C-,2026-08-21T03:24:39.206-0700,2026-08-21,,Opaque
Dark-C-260821102716.fits,calibration\2026-08-21\Dark-C-260821102716.fits,Dark-C-,2026-08-21T03:27:16.785-0700,2026-08-21,,Opaque
Dark-C-260822130005.fits,calibration\2026-08-22\Dark-C-260822130005.fits,Dark-C-,2026-08-22T06:00:05.620-0700,2026-08-22,,Opaque
Dark-C-260822130612.fits,calibration\2026-08-22\Dark-C-260822130612.fits,Dark-C-,2026-08-22T06:06:12.038-0700,2026-08-22,,Opaque
Dark-C-260823133356.fits,calibration\2026-08-23\Dark-C-260823133356.fits,Dark-C-,2026-08-23T06:33:56.267-0700,2026-08-23,,Opaque
Dark-C-260823134010.fits,calibration\2026-08-23\Dark-C-260823134010.fits,Dark-C-,2026-08-23T06:40:10.819-0700,2026-08-23,,Opaque
Dark-C-260824084249.fits,calibration\2026-08-24\Dark-C-260824084249.fits,Dark-C-,2026-08-24T01:42:49.434-0700,2026-08-24,,Opaque
Dark-C-260824084515.fits,calibration\2026-08-24\Dark-C-260824084515.fits,Dark-C-,2026-08-24T01:45:15.842-0700,2026-08-24,,Opaque
Dark-C-260825120049.fits,calibration\2026-08-25\Dark-C-260825120049.fits,Dark-C-,2026-08-25T05:00:49.462-0700,2026-08-25,,Opaque
Dark-C-260825120641.fits,calibration\2026-08-25\Dark-C-260825120641.fits,Dark-C-,2026-08-25T05:06:41.675-0700,2026-08-25,,Opaque
Dark-C-260826130241.fits,calibration\2026-08-26\Dark-C-260826130241.fits,Dark-C-,2026-08-26T06:02:41.789-0700,2026-08-26,,Opaque
Dark-C-260826130852.fits,calibration\2026-08-26\Dark-C-260826130852.fits,Dark-C-,2026-08-26T06:08:52.099-0700,2026-08-26,,Opaque
