file,mjd_obs,ut_time,x,y,weather,target_flux,ensemble_flux,rel_flux,check_flux,status,used,comp2_flux,comp3_flux,comp12_flux
TRES-3260810082115.fits,61262.348,08:21:07,300.18,192.43,85,602.0,,,,weather,no,33705.8,29717.4,
TRES-3260810082715.fits,61262.352,08:26:52,302.42,190.35,85,1150.8,70954.5,1.0695,0.9599,weather,no,31357.6,28400.2,11196.7
TRES-3260810083015.fits,61262.354,08:29:45,302.8,188.7,85,1063.2,71424.2,0.9987,1.0191,weather,no,32478.9,28305.0,10640.3
TRES-3260810083315.fits,61262.356,08:32:38,301.64,191.82,95,966.0,62583.3,1.0,0.9996,outlier,no,28413.0,24902.5,9267.8
TRES-3260810083916.fits,61262.361,08:39:50,308.17,189.48,95,886.9,54331.0,1.1214,1.0304,position,no,24724.8,21652.9,7953.2
TRES-3260810084215.fits,61262.363,08:42:43,312.27,193.57,95,527.9,35700.7,1.001,0.9997,ok,yes,16050.1,14279.9,5370.7
TRES-3260810084516.fits,61262.365,08:45:36,312.03,196.08,95,631.8,42017.8,0.993,1.003,outlier,no,19044.8,16848.4,6124.6
TRES-3260810084816.fits,61262.367,08:48:28,315.03,194.38,95,615.9,37896.0,1.1092,1.021,position,no,17205.2,14980.7,5710.1
TRES-3260810085117.fits,61262.369,08:51:21,315.59,197.73,95,594.5,39452.3,1.0001,1.0112,position,no,17948.0,15842.2,5662.1
TRES-3260810085416.fits,61262.371,08:54:14,317.52,195.92,95,382.4,,,,position,no,12790.0,11360.2,
TRES-3260810090015.fits,61262.375,09:00:00,319.59,199.1,95,529.8,,,,position,no,16704.1,14818.2,
TRES-3260810090708.fits,61262.38,09:07:12,334.21,221.15,100,239.0,15253.7,0.937,0.9526,position,no,6923.3,6141.0,2189.3
TRES-3260810091249.fits,61262.384,09:12:57,343.86,225.45,100,226.2,,,,position,no,6606.3,5840.0,
TRES-3260810091436.fits,61262.385,09:14:24,351.0,199.86,100,235.3,,,,position,no,7620.8,6739.4,
TRES-3260810092014.fits,61262.389,09:20:09,350.9,226.0,100,342.2,20191.9,1.0608,0.9884,position,no,9258.3,8063.0,2870.6
TRES-3260810092552.fits,61262.393,09:25:55,355.4,224.88,100,354.2,23877.1,0.9608,0.9679,position,no,10733.7,9496.1,3647.3
TRES-3260810093318.fits,61262.398,09:33:07,355.31,220.7,100,450.2,30249.3,1.001,1.0,ok,yes,13709.7,12118.7,4420.9
TRES-3260810093856.fits,61262.402,09:38:52,361.75,224.91,100,351.0,,,,position,no,13023.7,11501.6,
TRES-3260810094042.fits,61262.403,09:40:19,366.27,201.87,100,309.3,,,,position,no,14258.4,12913.2,
TRES-3260810094809.fits,61262.408,09:47:31,364.38,223.75,100,502.4,34730.1,0.9963,1.001,outlier,no,15675.5,13890.5,5164.2
TRES-3260810094956.fits,61262.41,09:50:24,368.49,207.04,100,534.1,,,,position,no,15002.4,13094.9,
TRES-3260810095534.fits,61262.414,09:56:09,374.46,227.02,100,510.2,,,,position,no,18838.9,16723.4,
