file,mjd_obs,ut_time,x,y,weather,target_flux,ensemble_flux,rel_flux,check_flux,status,used,comp2_flux,comp4_flux,comp11_flux
Qatar-1260821043927.fits,61273.194,04:39:21,263.48,218.89,100,1517.4,85255.9,1.0001,1.0,ok,yes,50359.1,24100.3,10796.5
Qatar-1260821044219.fits,61273.196,04:42:14,262.47,225.32,100,460.0,,,,no_flux,no,,,10804.8
Qatar-1260821044515.fits,61273.198,04:45:07,260.55,218.71,100,1410.5,85010.0,0.9426,0.9935,ok,yes,50076.4,24174.5,10759.0
Qatar-1260821044816.fits,61273.2,04:48:00,262.65,225.19,100,1294.4,,,,no_flux,no,,,10767.2
Qatar-1260821045116.fits,61273.202,04:50:52,260.04,226.16,100,755.7,,,,position,no,,,10836.2
Qatar-1260821045715.fits,61273.206,04:56:38,256.4,213.74,100,1220.6,85288.3,0.8449,0.9863,position,no,50048.3,24352.3,10887.7
Qatar-1260821050015.fits,61273.209,05:00:57,258.39,211.68,100,1551.6,85848.4,1.0701,0.9954,position,no,50551.9,24428.9,10867.7
Qatar-1260821050315.fits,61273.211,05:03:50,257.6,218.95,100,1461.1,85450.2,0.9802,1.0014,ok,yes,50498.4,24155.4,10796.4
Qatar-1260821050615.fits,61273.213,05:06:43,259.96,218.13,100,1569.0,85441.5,1.0482,0.9989,ok,yes,50438.6,24192.0,10810.9
Qatar-1260821050915.fits,61273.215,05:09:36,255.85,225.06,100,1264.9,,,,position,no,,,10720.3
Qatar-1260821051216.fits,61273.217,05:12:28,254.51,225.39,100,304.8,,,,position,no,,,10835.2
Qatar-1260821051516.fits,61273.219,05:15:21,255.48,218.12,100,1315.2,,,,no_flux,no,,24212.2,10870.4
Qatar-1260821051815.fits,61273.221,05:18:14,255.8,209.23,100,1453.1,85676.2,1.0261,1.0078,ok,yes,50685.0,24194.1,10797.2
Qatar-1260821052116.fits,61273.223,05:21:07,256.89,207.09,100,1494.0,86192.6,1.0557,1.0038,position,no,50892.2,24440.1,10860.3
Qatar-1260821052416.fits,61273.225,05:24:00,256.02,207.96,100,1474.9,85672.6,1.0473,0.993,ok,yes,50367.8,24504.9,10799.9
Qatar-1260821053015.fits,61273.229,05:29:45,256.23,211.0,100,1036.5,85628.5,0.7247,1.003,outlier,no,50572.8,24212.5,10843.2
Qatar-1260821053616.fits,61273.234,05:36:57,257.05,214.2,100,1440.7,85727.4,0.9876,1.0038,ok,yes,50674.2,24195.5,10857.7
Qatar-1260821053916.fits,61273.236,05:39:50,258.95,207.9,100,1480.8,85172.6,1.0467,1.0,ok,yes,50220.6,24118.5,10833.4
Qatar-1260821054215.fits,61273.238,05:42:43,260.01,208.99,100,1476.9,85280.6,1.0329,0.9975,ok,yes,50242.4,24181.2,10857.0
Qatar-1260821054515.fits,61273.24,05:45:36,260.73,202.85,100,1519.5,85465.4,1.0906,1.0007,position,no,50367.7,24243.8,10853.8
Qatar-1260821054815.fits,61273.242,05:48:28,259.87,207.24,100,1379.7,85205.4,0.9748,1.0043,ok,yes,50322.8,24105.7,10776.9
Qatar-1260821055415.fits,61273.246,05:54:14,262.72,202.5,100,805.3,,,,no_flux,no,50546.4,24241.4,
Qatar-1260821055715.fits,61273.248,05:57:07,262.87,205.17,100,1500.4,85510.4,1.0556,1.0022,ok,yes,50446.1,24255.1,10809.2
Qatar-1260821060016.fits,61273.25,06:00:00,264.65,205.69,100,1464.9,85726.7,1.0187,1.0026,ok,yes,50586.8,24314.4,10825.5
