file,mjd_obs,ut_time,x,y,weather,target_flux,ensemble_flux,rel_flux,check_flux,status,used,comp4_flux,comp10_flux,comp13_flux,comp14_flux,comp21_flux,comp22_flux
TRES-5260826071215.fits,61278.3,07:12:00,478.69,147.77,100,,,,,position,no,,,,,,
TRES-5260826071516.fits,61278.302,07:14:52,477.5,147.7,100,,,,,position,no,,,,,,
TRES-5260826072115.fits,61278.306,07:20:38,241.08,277.77,100,31.8,,,,position,no,,,,,,
TRES-5260826072415.fits,61278.309,07:24:57,241.57,278.32,100,56.8,,,,position,no,,,,,,
TRES-5260826072716.fits,61278.311,07:27:50,242.41,277.51,100,57.7,,,,position,no,,,,,,
TRES-5260826073016.fits,61278.313,07:30:43,241.52,275.02,100,70.2,,,,position,no,,,,,,
TRES-5260826073915.fits,61278.319,07:39:21,246.37,278.65,100,,,,,position,no,,,,,,
TRES-5260826074215.fits,61278.321,07:42:14,248.11,277.84,100,47.2,,,,position,no,,,,,,
TRES-5260826075115.fits,61278.327,07:50:52,251.84,275.0,100,43.1,,,,position,no,,,,,,
TRES-5260826075416.fits,61278.329,07:53:45,253.57,273.91,100,47.2,,,,position,no,,,,,,
TRES-5260826080916.fits,61278.34,08:09:36,303.61,158.69,100,359.8,122305.4,0.706,0.9687,position,no,40076.1,20673.6,17810.0,17866.3,14141.3,11738.1
TRES-5260826083616.fits,61278.359,08:36:57,272.76,273.96,100,55.2,,,,position,no,,,,,,
TRES-5260826084215.fits,61278.363,08:42:43,319.1,156.77,100,262.0,119829.2,0.5315,0.9737,position,no,39102.6,20118.1,17607.9,17558.5,13958.4,11483.7
TRES-5260826084816.fits,61278.367,08:48:28,321.72,154.54,100,355.5,119528.5,0.7385,0.9535,position,no,38488.4,20413.1,17722.8,17480.2,13940.7,11483.4
TRES-5260826090015.fits,61278.375,09:00:00,332.47,156.73,100,95.0,,,,position,no,,20031.1,17324.3,,13688.7,11326.8
TRES-5260826090315.fits,61278.377,09:02:52,335.84,154.89,100,171.3,,,,position,no,,20251.3,17477.4,,13793.6,11397.6
TRES-5260826090615.fits,61278.379,09:05:45,330.52,152.74,100,418.9,,,,position,no,39162.1,20400.4,17545.8,17410.5,13875.9,
TRES-5260826090916.fits,61278.381,09:08:38,332.36,152.26,100,111.4,,,,position,no,,20180.0,17402.2,17225.5,13811.3,11392.3
TRES-5260826091215.fits,61278.384,09:12:57,332.96,156.47,100,497.2,117669.1,1.0243,0.991,position,no,38530.1,20007.2,17132.2,17078.6,13631.1,11290.1
TRES-5260826091515.fits,61278.386,09:15:50,335.66,155.28,100,453.0,117282.9,0.9465,0.9895,position,no,38348.7,19826.6,17347.2,16889.8,13560.8,11309.7
TRES-5260826091815.fits,61278.388,09:18:43,334.49,157.08,100,500.5,118221.8,1.0195,0.9835,position,no,38449.3,20094.6,17425.0,17139.5,13714.5,11399.0
TRES-5260826092115.fits,61278.39,09:21:36,337.74,155.96,100,416.6,117181.5,0.8646,0.9527,position,no,37267.1,20271.2,17350.9,17267.7,13595.2,11429.5
TRES-5260826092415.fits,61278.392,09:24:28,339.11,153.82,100,408.9,115933.9,0.8758,0.9888,position,no,37868.0,19635.7,17070.2,16844.8,13407.1,11108.0
TRES-5260826092715.fits,61278.394,09:27:21,341.86,157.93,100,504.7,118069.8,1.0178,0.9944,position,no,38465.9,20154.4,17403.5,17106.2,13549.4,11390.3
TRES-5260826093016.fits,61278.396,09:30:14,341.82,156.77,100,484.9,117146.8,0.997,0.9768,position,no,37757.3,20066.3,17379.9,17063.2,13523.2,11356.9
TRES-5260826093315.fits,61278.398,09:33:07,342.54,155.89,100,506.2,117621.3,1.0452,0.9672,position,no,37678.7,20311.5,17451.1,17106.2,13586.7,11487.0
TRES-5260826093615.fits,61278.4,09:36:00,351.04,162.02,100,179.6,,,,position,no,,19986.1,17440.9,,13539.6,11304.2
TRES-5260826093916.fits,61278.402,09:38:52,344.97,157.47,100,465.3,116602.1,0.9534,1.0026,ok,yes,38142.0,19832.3,17192.7,16924.3,13364.6,11146.1
TRES-5260826094215.fits,61278.404,09:41:45,349.2,156.87,100,361.2,116507.0,0.7438,0.9974,position,no,37900.6,19852.4,17054.8,16900.5,13510.6,11288.1
TRES-5260826094515.fits,61278.406,09:44:38,351.53,154.15,100,517.5,117124.4,1.0878,1.0011,ok,yes,38256.5,19973.9,17254.8,16928.1,13485.2,11225.9
TRES-5260826094816.fits,61278.409,09:48:57,353.47,158.86,100,519.5,115195.9,1.0595,0.9976,ok,yes,37289.2,19613.5,17060.2,16784.7,13232.0,11216.3
TRES-5260826095115.fits,61278.411,09:51:50,356.81,157.81,100,487.9,115753.7,0.9989,0.9984,ok,yes,37451.4,19862.4,17182.0,16842.3,13209.7,11205.9
TRES-5260826095415.fits,61278.413,09:54:43,356.76,155.83,100,481.9,115418.9,1.0088,0.9986,ok,yes,37434.7,19715.9,17124.8,16794.9,13217.2,11131.4
TRES-5260826095715.fits,61278.415,09:57:36,358.01,153.66,100,440.0,113197.9,0.9591,1.0,outlier,no,36811.9,19261.3,16658.3,16538.6,12963.0,10964.8
