file,mjd_obs,ut_time,x,y,weather,target_flux,ensemble_flux,rel_flux,check_flux,status,used,comp2_flux,comp3_flux
TRES-3260827081515.fits,61279.344,08:15:21,302.29,197.16,100,1476.7,83625.2,0.9571,0.9896,ok,yes,44281.7,39343.5
TRES-3260827081815.fits,61279.346,08:18:14,303.04,194.68,100,1534.3,76562.7,1.0903,1.0174,ok,yes,40863.4,35699.2
TRES-3260827082415.fits,61279.35,08:24:00,306.05,198.58,100,1481.0,83247.8,0.9715,0.9811,ok,yes,43888.9,39359.0
TRES-3260827082716.fits,61279.352,08:26:52,308.12,195.19,100,1571.5,,,,no_flux,no,,36390.2
TRES-3260827083315.fits,61279.356,08:32:38,309.14,200.97,100,1464.2,77395.8,1.0384,1.0301,ok,yes,41820.8,35575.0
TRES-3260827083616.fits,61279.359,08:36:57,313.98,204.61,100,1467.7,79952.9,1.0159,0.9888,ok,yes,42509.4,37443.5
TRES-3260827083915.fits,61279.361,08:39:50,317.15,200.21,100,1267.0,76128.8,0.9312,0.9935,ok,yes,40147.6,35981.1
TRES-3260827084215.fits,61279.363,08:42:43,317.42,196.38,100,1312.1,77028.0,0.9568,0.996,ok,yes,40372.9,36655.1
TRES-3260827084515.fits,61279.365,08:45:36,318.26,205.2,100,1367.7,76649.6,0.9969,1.0046,ok,yes,40966.2,35683.4
TRES-3260827084816.fits,61279.367,08:48:28,318.17,201.47,100,1408.0,75542.2,1.0443,0.9847,ok,yes,39730.6,35811.7
TRES-3260827085115.fits,61279.369,08:51:21,324.04,199.58,100,1365.5,74195.9,1.0473,1.0,ok,yes,38990.6,35205.3
TRES-3260827085415.fits,61279.371,08:54:14,322.36,202.56,100,1392.0,74609.2,1.0548,1.0054,ok,yes,39576.3,35032.8
TRES-3260827085715.fits,61279.373,08:57:07,322.45,203.61,100,1359.8,74308.5,1.0339,1.0188,ok,yes,39735.1,34573.4
TRES-3260827090015.fits,61279.375,09:00:00,324.39,203.82,100,1242.0,70486.4,1.0,1.0014,ok,yes,37346.1,33140.3
TRES-3260827090316.fits,61279.377,09:02:52,325.62,200.67,100,1221.9,69774.3,0.9994,1.0028,ok,yes,36743.9,33030.4
TRES-3260827090617.fits,61279.379,09:05:45,324.8,204.56,100,1156.4,67340.3,0.9749,0.9913,outlier,no,35547.1,31793.2
