file,mjd_obs,ut_time,x,y,weather,target_flux,ensemble_flux,rel_flux,check_flux,status,used,comp4_flux,comp10_flux,comp13_flux,comp14_flux
TRES-5260901050038.fits,61284.209,05:00:57,248.66,234.42,42,372.8,64049.9,0.9521,1.1736,weather,no,26364.7,13623.4,11926.8,12135.0
TRES-5260901050316.fits,61284.211,05:03:50,249.51,220.78,61,418.5,73321.6,0.9539,1.1106,weather,no,29691.0,15958.4,13719.9,13952.3
TRES-5260901050615.fits,61284.213,05:06:43,250.71,221.91,61,431.1,78468.6,0.9144,1.1563,weather,no,32498.2,16886.1,14232.3,14852.0
TRES-5260901050915.fits,61284.215,05:09:36,253.79,225.73,61,437.8,73561.9,0.9787,1.1945,weather,no,30914.0,15799.2,13533.3,13315.4
TRES-5260901051215.fits,61284.217,05:12:28,255.66,214.34,61,448.1,71637.8,1.045,1.042,weather,no,28137.1,16248.8,13678.9,13573.0
TRES-5260901051515.fits,61284.219,05:15:21,257.55,215.85,61,289.3,36886.6,1.3026,1.1719,weather,no,15507.9,8062.7,6761.9,6554.1
TRES-5260901051816.fits,61284.221,05:18:14,256.82,215.51,61,311.2,54223.0,0.955,1.1391,weather,no,22430.0,11620.0,9870.6,10302.4
TRES-5260901052115.fits,61284.223,05:21:07,256.51,216.1,61,517.5,89865.3,0.9577,1.0498,weather,no,35382.7,19968.3,17074.6,17439.7
TRES-5260901052415.fits,61284.225,05:24:00,256.39,216.12,61,549.3,88022.0,1.0381,1.0272,weather,no,34199.9,19639.8,16747.1,17435.1
TRES-5260901052716.fits,61284.227,05:26:52,259.41,216.48,61,399.9,62368.1,1.0601,1.1084,weather,no,25361.0,13645.1,11598.8,11763.2
TRES-5260901053015.fits,61284.229,05:29:45,258.69,215.58,61,375.2,54443.2,1.1426,1.1862,weather,no,23057.7,11843.6,9913.5,9628.5
TRES-5260901053316.fits,61284.231,05:32:38,258.16,216.79,70,245.1,36009.2,1.1271,1.236,weather,no,15591.8,7419.0,6385.9,6612.5
TRES-5260901053615.fits,61284.234,05:36:57,259.28,216.15,70,180.4,35949.4,0.8302,1.2154,weather,no,15429.7,7670.6,6564.8,6284.2
TRES-5260901053916.fits,61284.236,05:39:50,258.84,216.93,70,351.1,68024.9,0.8535,1.1442,weather,no,28169.5,15080.0,12588.2,12187.2
TRES-5260901054215.fits,61284.238,05:42:43,259.58,214.71,70,595.6,91467.8,1.0794,1.0288,weather,no,35637.5,20754.5,17778.2,17297.6
TRES-5260901054516.fits,61284.24,05:45:36,259.5,215.76,70,628.2,97431.4,1.0671,1.0019,weather,no,37300.6,22590.6,19263.5,18276.5
TRES-5260901054817.fits,61284.242,05:48:28,258.7,215.7,70,647.8,98580.7,1.0892,1.0173,weather,no,38098.7,22703.7,19319.4,18459.0
TRES-5260901055115.fits,61284.244,05:51:21,259.75,217.24,70,602.8,99520.4,0.9995,1.0282,weather,no,38642.9,22701.7,19125.6,19050.2
TRES-5260901055415.fits,61284.246,05:54:14,259.59,217.03,70,605.9,100171.2,0.9987,1.0342,weather,no,39043.7,22462.6,19367.9,19297.0
TRES-5260901055716.fits,61284.248,05:57:07,259.14,217.5,70,615.7,98830.9,1.0286,1.0013,weather,no,37741.1,22839.2,19384.6,18865.9
TRES-5260901060015.fits,61284.25,06:00:00,261.34,216.33,70,659.7,99810.2,1.0891,1.0079,weather,no,38326.9,22832.8,19357.9,19292.7
TRES-5260901060315.fits,61284.252,06:02:52,261.6,213.52,97,621.1,102781.7,1.0,1.0794,outlier,no,41284.6,22822.1,19410.1,19264.9
TRES-5260901060615.fits,61284.254,06:05:45,262.6,213.32,97,589.1,99242.1,0.9808,0.9886,ok,yes,37796.0,23086.3,19135.4,19224.4
TRES-5260901060916.fits,61284.256,06:08:38,261.44,214.69,97,623.8,93608.8,1.1009,0.9942,outlier,no,35715.6,21945.6,18149.2,17798.4
TRES-5260901061215.fits,61284.259,06:12:57,261.51,216.38,97,648.4,95382.4,1.1197,0.9687,outlier,no,35734.1,22916.4,18413.6,18318.2
TRES-5260901061515.fits,61284.261,06:15:50,265.36,213.42,97,602.7,96913.1,1.0223,1.001,ok,yes,37192.8,22347.8,18992.9,18379.6
TRES-5260901061815.fits,61284.263,06:18:43,263.45,214.13,97,567.3,97399.5,0.9596,1.0083,ok,yes,37512.7,22211.2,18683.5,18992.1
TRES-5260901062115.fits,61284.265,06:21:36,263.54,211.25,97,580.3,94932.8,1.0118,0.9713,ok,yes,35851.4,22458.3,18216.6,18406.5
TRES-5260901062416.fits,61284.267,06:24:28,263.31,215.54,97,543.7,94095.7,0.9499,1.0355,ok,yes,36773.6,21465.7,19237.7,16618.7
TRES-5260901062715.fits,61284.269,06:27:21,264.34,212.92,97,618.7,96330.2,1.0586,1.0335,ok,yes,37721.8,21496.5,19089.7,18022.1
TRES-5260901063015.fits,61284.271,06:30:14,265.48,212.54,97,571.7,94086.1,1.0,1.0225,ok,yes,36622.1,21480.6,18511.9,17471.5
TRES-5260901063315.fits,61284.273,06:33:07,265.44,211.93,100,612.0,94963.2,1.0618,1.0209,ok,yes,36953.3,21140.4,18465.9,18403.6
