night,target,session,file,mjd_obs,x,y,snr,detected
2026-08-08,WASP-10,session_01,WASP-10260808090917.fits,61260.381,202.51,495.25,2.0,no
2026-08-08,WASP-10,session_01,WASP-10260808092415.fits,61260.392,201.31,493.84,1.1,no
2026-08-08,WASP-10,session_01,WASP-10260808092716.fits,61260.394,198.65,493.58,2.2,no
2026-08-08,WASP-10,session_01,WASP-10260808093315.fits,61260.398,199.73,491.95,2.5,no
2026-08-08,WASP-10,session_01,WASP-10260808094215.fits,61260.404,205.67,490.3,2.2,no
2026-08-08,WASP-10,session_01,WASP-10260808094517.fits,61260.406,206.23,488.38,2.9,no
2026-08-08,WASP-10,session_01,WASP-10260808094816.fits,61260.409,203.77,493.93,2.2,no
2026-08-09,CoRoT-2,session_01,CoRoT-2260809055115.fits,61261.244,16.46,144.91,1.8,no
2026-08-10,TRES-3,session_01,TRES-3260810082115.fits,61262.348,300.18,192.43,4.0,yes
2026-08-10,TRES-3,session_01,TRES-3260810082417.fits,61262.35,304.61,188.73,2.2,no
2026-08-10,TRES-3,session_01,TRES-3260810082715.fits,61262.352,302.42,190.35,64.3,yes
2026-08-10,TRES-3,session_01,TRES-3260810083015.fits,61262.354,302.8,188.7,66.1,yes
2026-08-10,TRES-3,session_01,TRES-3260810083315.fits,61262.356,301.64,191.82,37.8,yes
2026-08-10,TRES-3,session_01,TRES-3260810083615.fits,61262.359,307.16,186.86,41.1,no
2026-08-10,TRES-3,session_01,TRES-3260810083916.fits,61262.361,308.17,189.48,27.0,yes
2026-08-10,TRES-3,session_01,TRES-3260810084215.fits,61262.363,312.27,193.57,29.9,yes
2026-08-10,TRES-3,session_01,TRES-3260810084516.fits,61262.365,312.03,196.08,20.2,yes
2026-08-10,TRES-3,session_01,TRES-3260810084816.fits,61262.367,315.03,194.38,25.0,yes
2026-08-10,TRES-3,session_01,TRES-3260810085117.fits,61262.369,315.59,197.73,26.3,yes
2026-08-10,TRES-3,session_01,TRES-3260810085416.fits,61262.371,317.52,195.92,15.7,yes
2026-08-10,TRES-3,session_01,TRES-3260810085717.fits,61262.373,320.38,192.67,22.3,no
2026-08-10,TRES-3,session_01,TRES-3260810090015.fits,61262.375,319.59,199.1,14.4,yes
2026-08-10,TRES-3,session_01,TRES-3260810090708.fits,61262.38,334.21,221.15,16.0,yes
2026-08-10,TRES-3,session_01,TRES-3260810091249.fits,61262.384,343.86,225.45,8.8,yes
2026-08-10,TRES-3,session_01,TRES-3260810091436.fits,61262.385,351.0,199.86,8.8,yes
2026-08-10,TRES-3,session_01,TRES-3260810092014.fits,61262.389,350.9,226.0,16.0,yes
2026-08-10,TRES-3,session_01,TRES-3260810092552.fits,61262.393,355.4,224.88,16.6,yes
2026-08-10,TRES-3,session_01,TRES-3260810093318.fits,61262.398,355.31,220.7,28.6,yes
2026-08-10,TRES-3,session_01,TRES-3260810093856.fits,61262.402,361.75,224.91,6.7,yes
2026-08-10,TRES-3,session_01,TRES-3260810094042.fits,61262.403,366.27,201.87,7.4,yes
2026-08-10,TRES-3,session_01,TRES-3260810094809.fits,61262.408,364.38,223.75,29.9,yes
2026-08-10,TRES-3,session_01,TRES-3260810094956.fits,61262.41,368.49,207.04,11.2,yes
2026-08-10,TRES-3,session_01,TRES-3260810095534.fits,61262.414,374.46,227.02,8.8,yes
2026-08-11,WASP-2,session_01,WASP-2260811070422.fits,61263.295,541.14,278.51,2.5,no
2026-08-11,WASP-2,session_01,WASP-2260811071516.fits,61263.302,542.07,281.5,1.8,no
2026-08-11,WASP-2,session_01,WASP-2260811072116.fits,61263.306,537.55,279.97,1.8,no
2026-08-11,WASP-2,session_01,WASP-2260811072417.fits,61263.309,535.76,278.44,1.8,no
2026-08-11,WASP-2,session_01,WASP-2260811073015.fits,61263.313,535.91,276.35,2.5,no
2026-08-11,WASP-2,session_01,WASP-2260811073315.fits,61263.315,536.44,277.04,2.2,no
2026-08-11,WASP-2,session_01,WASP-2260811073615.fits,61263.317,535.76,276.39,2.0,no
2026-08-11,WASP-2,session_01,WASP-2260811073917.fits,61263.319,538.27,274.95,2.9,no
2026-08-11,WASP-2,session_01,WASP-2260811074516.fits,61263.323,533.51,272.75,2.2,no
2026-08-11,WASP-2,session_01,WASP-2260811074816.fits,61263.325,536.65,274.25,2.7,no
2026-08-11,WASP-2,session_01,WASP-2260811075115.fits,61263.327,538.86,271.87,2.2,no
2026-08-11,WASP-2,session_01,WASP-2260811075716.fits,61263.331,532.68,273.95,1.6,no
